Query Strategy,actual_accuracy - estimated_accuracy,budget
LabelUncertainty,0.013276350722198571,1000
LabelUncertainty,0.007023140722198562,1000
ClassifierUncertainty,0.12884596072219845,100
ClassifierUncertainty,0.09140581072219844,100
ClassifierUncertainty,0.08281167072219842,100
ClassifierUncertainty,0.04855263072219851,100
ClassifierUncertainty,0.0781299007221985,100
ClassifierUncertainty,0.10405247072219848,100
ClassifierUncertainty,0.09171868072219846,100
ClassifierUncertainty,0.07240776072219846,100
ClassifierUncertainty,0.0705119507221984,100
ClassifierUncertainty,0.12177808072219853,100
ClassifierUncertainty,0.07034702072219856,200
ClassifierUncertainty,0.05112992072219835,200
ClassifierUncertainty,0.05888454072219851,200
ClassifierUncertainty,0.04925352072219846,200
ClassifierUncertainty,0.06583511072219839,200
ClassifierUncertainty,0.09383852072219856,200
ClassifierUncertainty,0.09884104072219857,200
ClassifierUncertainty,0.05449320072219843,200
ClassifierUncertainty,0.053740280722198386,200
ClassifierUncertainty,0.05099579072219862,200
ClassifierUncertainty,0.06280476072219843,300
ClassifierUncertainty,0.03601138072219845,300
ClassifierUncertainty,0.049961090722198565,300
ClassifierUncertainty,0.07785690072219842,300
ClassifierUncertainty,0.06503373072219854,300
ClassifierUncertainty,0.0850185407221985,300
ClassifierUncertainty,0.0599532107221985,300
ClassifierUncertainty,0.03866710072219848,300
ClassifierUncertainty,0.04134252072219846,300
ClassifierUncertainty,0.06645836072219846,300
ClassifierUncertainty,0.06799284072219858,400
ClassifierUncertainty,0.04231372072219852,400
ClassifierUncertainty,0.05576705072219845,400
ClassifierUncertainty,0.05187435072219848,400
ClassifierUncertainty,0.06133223072219851,400
ClassifierUncertainty,0.05811827072219844,400
ClassifierUncertainty,0.056416000722198434,400
ClassifierUncertainty,0.03627760072219843,400
ClassifierUncertainty,0.0379253307221985,400
ClassifierUncertainty,0.06651898072219842,400
ClassifierUncertainty,0.046425370722198434,500
ClassifierUncertainty,0.04764564072219857,500
ClassifierUncertainty,0.02640100072219853,500
ClassifierUncertainty,0.03503504072219843,500
ClassifierUncertainty,0.06205754072219849,500
ClassifierUncertainty,0.048726580722198376,500
ClassifierUncertainty,0.05951751072219846,500
ClassifierUncertainty,0.060574690722198454,500
ClassifierUncertainty,0.04545339072219845,500
ClassifierUncertainty,0.03816430072219856,500
ClassifierUncertainty,0.04475899072219858,600
ClassifierUncertainty,0.03914572072219846,600
ClassifierUncertainty,0.04319108072219846,600
ClassifierUncertainty,0.0349972307221984,600
ClassifierUncertainty,0.045376530722198605,600
ClassifierUncertainty,0.03032501072219851,600
ClassifierUncertainty,0.04941960072219853,600
ClassifierUncertainty,0.034813080722198575,600
ClassifierUncertainty,0.03484574072219837,600
ClassifierUncertainty,0.03244320072219853,600
ClassifierUncertainty,0.05973375072219844,700
ClassifierUncertainty,0.058390510722198585,700
ClassifierUncertainty,0.0437633507221985,700
ClassifierUncertainty,0.03828169072219845,700
ClassifierUncertainty,0.03702459072219855,700
ClassifierUncertainty,0.03767911072219843,700
ClassifierUncertainty,0.0338080507221985,700
ClassifierUncertainty,0.0273721407221984,700
ClassifierUncertainty,0.06725892072219852,700
ClassifierUncertainty,0.04129441072219853,700
ClassifierUncertainty,0.03883662072219851,800
ClassifierUncertainty,0.04112207072219842,800
ClassifierUncertainty,0.048416070722198445,800
